State,Year,Number,Percentage,LowerLimit,UpperLimit
Alabama,2000,240517,7.3,6.2,8.6
Alaska,2000,16460,4.4,3.2,6
Arizona,2000,210776,5.9,4.2,8.3
Arkansas,2000,118510,5.9,5,6.9
California,2000,1664337,7.1,6,8.4
Colorado,2000,151738,5.2,4.2,6.5
Connecticut,2000,136006,5.2,4.5,6
Delaware,2000,36636,6.3,5.2,7.7
District of Columbia,2000,29419,7.4,6.2,8.9
Florida,2000,819663,6.2,5.5,6.9
Georgia,2000,393965,7.1,6.3,8.1
Hawaii,2000,46839,5.1,4.5,5.9
Idaho,2000,43475,4.8,4.1,5.5
Illinois,2000,560361,6.2,5.3,7.1
Indiana,2000,267325,6,5.2,7
Iowa,2000,130957,5.6,4.9,6.5
Kansas,2000,114546,5.7,5,6.4
Kentucky,2000,193395,6.3,5.6,7.1
Louisiana,2000,207366,6.8,6,7.6
Maine,2000,56181,5.8,4.8,6.9
Maryland,2000,252100,6.5,5.7,7.5
Massachusetts,2000,272401,5.7,5.1,6.3
Michigan,2000,514285,7,6.1,8.1
Minnesota,2000,172908,4.8,4.1,5.8
Mississippi,2000,151491,7.6,6.5,8.8
Missouri,2000,271376,6.4,5.4,7.4
Montana,2000,31395,4.5,3.7,5.4
Nebraska,2000,60354,4.8,4,5.8
Nevada,2000,96242,6.8,5.1,9
New Hampshire,2000,40222,4.6,3.7,5.7
New Jersey,2000,362253,5.6,4.8,6.4
New Mexico,2000,80490,6.6,5.7,7.6
New York,2000,867776,6.2,5.3,7.2
North Carolina,2000,375512,6.5,5.6,7.4
North Dakota,2000,24225,5,4,6.2
Ohio,2000,526165,6.1,5.1,7.4
Oklahoma,2000,136347,5.4,4.6,6.2
Oregon,2000,149589,5.8,5,6.7
Pennsylvania,2000,652297,6.5,5.7,7.5
Rhode Island,2000,45619,5.8,5,6.7
South Carolina,2000,205236,7.2,6.2,8.2
South Dakota,2000,29957,5.4,4.8,6.2
Tennessee,2000,301585,7,6,8.1
