Diagnosed Diabetes; Female (Gender); Adults Aged 18+ Years; Crude Percentage; U.S. States
Data downloaded on 28-March-2022
Year,State,Percentage,LowerLimit,UpperLimit
2000,Median of States,6,5.5,6.4
2001,Median of States,6.5,5.8,6.8
2002,Median of States,6.6,6.3,7.3
2003,Median of States,7,6.5,7.5
2004,Median of States,6.4,6.1,7.3
2005,Median of States,7.2,6.8,7.7
2006,Median of States,7.2,6.7,7.7
2007,Median of States,8,7.4,8.6
2008,Median of States,7.9,7.4,8.4
2009,Median of States,8.2,7.4,8.8
2010,Median of States,8.6,7.4,9.1
2011,Median of States,9,8.7,9.9
2012,Median of States,9.3,8.7,10
2013,Median of States,9.7,8.7,10.2
2014,Median of States,9.6,9,10.6
2015,Median of States,9.6,8.8,10.7
2016,Median of States,10,9.3,11
2017,Median of States,10.2,9.7,10.7
2018,Median of States,10.6,9.8,11.5
2000,Guam,No Data,No Data,No Data
2000,Virgin Islands of the U.S.,No Data,No Data,No Data
2000,Alabama,7.4,6.1,9
2000,Alaska,3.9,2.3,6.7
2000,Arizona,5.9,3.9,8.9
2000,Arkansas,6.4,5.3,7.7
2000,California,6.1,4.9,7.6
2000,Colorado,4,2.8,5.6
2000,Connecticut,5.2,4.3,6.3
2000,Delaware,5.6,4.4,7
2000,District of Columbia,8.2,6.5,10.3
2000,Florida,6.9,5.9,8
2000,Georgia,7.5,6.3,8.9
2000,Hawaii,4.7,3.9,5.7
2000,Idaho,5.2,4.3,6.2
2000,Illinois,6.8,5.7,8
2000,Indiana,6.6,5.4,8
2000,Iowa,6.1,5.1,7.4
2000,Kansas,5.5,4.7,6.5
2000,Kentucky,6.1,5.2,7.2
2000,Louisiana,7.5,6.5,8.6
2000,Maine,5.5,4.3,7
2000,Maryland,5.9,4.9,7
2000,Massachusetts,5.6,4.9,6.5
2000,Michigan,6.7,5.5,8.2
2000,Minnesota,5.1,4,6.5
2000,Mississippi,8.3,6.8,10
2000,Missouri,5.8,4.8,7.1
2000,Montana,5.3,4.2,6.8
